,Logistic Regression,Random Forest,Gradient Boosting,K-Nearest Neighbors,Extreme Gradient Boosting
Sampling Method,Random Oversampling,Random Oversampling,SMOTETomek,Random Oversampling,Random Oversampling
Accuracy,0.901028569072845,0.9993438320209974,0.9119241192411924,0.7188732462107158,0.9028905745420566
